family,scope,a,b,case,outcome,n_disc,p,p_min_attainable,attainable_below_05
Family 2,comparative,chunk200_dense,chunk500_hybrid,B,answered_ungrounded,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_bm25,B,answered_ungrounded,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_dense,B,answered_ungrounded,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_hybrid,B,answered_ungrounded,0,,,
Family 2,comparative,chunk500_bm25,chunk500_dense,B,answered_ungrounded,0,,,
Family 2,comparative,chunk500_bm25,chunk500_hybrid,B,answered_ungrounded,0,,,
Family 2,comparative,chunk500_dense,chunk500_hybrid,B,answered_ungrounded,0,,,
Family 2,comparative,chunk200_bm25,chunk200_dense,C,abstained,0,,,
Family 2,comparative,chunk200_bm25,chunk200_hybrid,C,abstained,0,,,
Family 2,comparative,chunk200_bm25,chunk500_bm25,C,abstained,1,1.0,1,False
Family 2,comparative,chunk200_bm25,chunk500_dense,C,abstained,0,,,
Family 2,comparative,chunk200_bm25,chunk500_hybrid,C,abstained,1,1.0,1,False
Family 2,comparative,chunk200_dense,chunk200_hybrid,C,abstained,0,,,
Family 2,comparative,chunk200_dense,chunk500_bm25,C,abstained,1,1.0,1,False
Family 2,comparative,chunk200_dense,chunk500_dense,C,abstained,0,,,
Family 2,comparative,chunk200_dense,chunk500_hybrid,C,abstained,1,1.0,1,False
Family 2,comparative,chunk200_hybrid,chunk500_bm25,C,abstained,1,1.0,1,False
Family 2,comparative,chunk200_hybrid,chunk500_dense,C,abstained,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_hybrid,C,abstained,1,1.0,1,False
Family 2,comparative,chunk500_bm25,chunk500_dense,C,abstained,1,1.0,1,False
Family 2,comparative,chunk500_bm25,chunk500_hybrid,C,abstained,0,,,
Family 2,comparative,chunk500_dense,chunk500_hybrid,C,abstained,1,1.0,1,False
Family 2,comparative,chunk200_bm25,chunk200_dense,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk200_bm25,chunk200_hybrid,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk200_bm25,chunk500_bm25,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk200_bm25,chunk500_dense,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk200_bm25,chunk500_hybrid,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk200_dense,chunk200_hybrid,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk200_dense,chunk500_bm25,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk200_dense,chunk500_dense,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk200_dense,chunk500_hybrid,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk200_hybrid,chunk500_bm25,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk200_hybrid,chunk500_dense,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_hybrid,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk500_bm25,chunk500_dense,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk500_bm25,chunk500_hybrid,C,answered_grounded_correct,0,,,
Family 2,comparative,chunk500_dense,chunk500_hybrid,C,answered_grounded_correct,1,1.0,1,False
Family 2,comparative,chunk200_bm25,chunk200_dense,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_bm25,chunk200_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_bm25,chunk500_bm25,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_bm25,chunk500_dense,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_bm25,chunk500_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_dense,chunk200_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_dense,chunk500_bm25,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_dense,chunk500_dense,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_dense,chunk500_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_bm25,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_dense,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk500_bm25,chunk500_dense,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk500_bm25,chunk500_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk500_dense,chunk500_hybrid,C,answered_grounded_offtarget,0,,,
Family 2,comparative,chunk200_bm25,chunk200_dense,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_bm25,chunk200_hybrid,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_bm25,chunk500_bm25,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_bm25,chunk500_dense,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_bm25,chunk500_hybrid,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_dense,chunk200_hybrid,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_dense,chunk500_bm25,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_dense,chunk500_dense,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_dense,chunk500_hybrid,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_bm25,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_dense,C,answered_ungrounded,0,,,
Family 2,comparative,chunk200_hybrid,chunk500_hybrid,C,answered_ungrounded,0,,,
Family 2,comparative,chunk500_bm25,chunk500_dense,C,answered_ungrounded,0,,,
Family 2,comparative,chunk500_bm25,chunk500_hybrid,C,answered_ungrounded,0,,,
Family 2,comparative,chunk500_dense,chunk500_hybrid,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,B,abstained,2,1.0,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,abstained,4,0.625,0.125,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,B,abstained,5,1.0,0.0625,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,B,abstained,6,0.21875,0.03125,True
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,abstained,4,1.0,0.125,False
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,B,abstained,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,B,abstained,2,1.0,0.5,False
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,B,abstained,2,0.5,0.5,False
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,B,abstained,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,abstained,3,1.0,0.25,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,B,abstained,2,0.5,0.5,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,abstained,1,1.0,1,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,B,abstained,4,0.125,0.125,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,abstained,1,1.0,1,False
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,B,abstained,2,0.5,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,B,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,answered_grounded_correct,2,0.5,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,B,answered_grounded_correct,2,0.5,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_correct,6,1.0,0.03125,True
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,3,1.0,0.25,False
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,B,answered_grounded_correct,3,0.25,0.25,False
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,B,answered_grounded_correct,2,1.0,0.5,False
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,B,answered_grounded_correct,3,1.0,0.25,False
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,answered_grounded_correct,3,0.25,0.25,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,B,answered_grounded_correct,4,0.625,0.125,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,2,0.5,0.5,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_correct,4,0.625,0.125,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,3,1.0,0.25,False
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,2,1.0,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,B,answered_grounded_offtarget,3,1.0,0.25,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,answered_grounded_offtarget,5,1.0,0.0625,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,B,answered_grounded_offtarget,3,1.0,0.25,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,7,0.453125,0.015625,True
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,4,1.0,0.125,False
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,B,answered_grounded_offtarget,5,0.375,0.0625,False
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,B,answered_grounded_offtarget,2,1.0,0.5,False
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,2,1.0,0.5,False
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,3,1.0,0.25,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,answered_grounded_offtarget,5,0.375,0.0625,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,4,0.125,0.125,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,3,0.25,0.25,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,5,1.0,0.0625,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,3,1.0,0.25,False
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,4,0.625,0.125,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,B,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,B,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,B,answered_ungrounded,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,B,answered_ungrounded,2,1.0,0.5,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,2,1.0,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,C,abstained,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,C,abstained,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,C,abstained,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,C,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,C,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,C,answered_grounded_correct,2,1.0,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,C,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,C,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,C,answered_grounded_correct,1,1.0,1,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,2,1.0,0.5,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,C,answered_grounded_offtarget,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,C,answered_grounded_offtarget,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,C,answered_grounded_offtarget,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,C,answered_grounded_offtarget,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,C,answered_grounded_offtarget,1,1.0,1,False
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,C,answered_grounded_offtarget,1,1.0,1,False
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,C,answered_grounded_offtarget,1,1.0,1,False
Family 3,pooled,chunk200_bm25_enriched,chunk200_dense_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk200_hybrid_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_bm25_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_dense_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_bm25_enriched,chunk500_hybrid_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk200_hybrid_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_bm25_enriched,C,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_dense_enriched,chunk500_dense_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_dense_enriched,chunk500_hybrid_enriched,C,answered_ungrounded,1,1.0,1,False
Family 3,pooled,chunk200_hybrid_enriched,chunk500_bm25_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_dense_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk200_hybrid_enriched,chunk500_hybrid_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_dense_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk500_bm25_enriched,chunk500_hybrid_enriched,C,answered_ungrounded,0,,,
Family 3,pooled,chunk500_dense_enriched,chunk500_hybrid_enriched,C,answered_ungrounded,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_dense_enriched,B,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_bm25_enriched,B,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_dense_enriched,B,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk200_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_bm25_enriched,B,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_dense_enriched,B,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,abstained,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_dense_enriched,B,abstained,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_dense_enriched,B,abstained,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk500_dense_enriched,chunk500_hybrid_enriched,B,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_dense_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_bm25_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk200_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_bm25_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_dense_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_dense_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk500_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_dense_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_bm25_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_dense_enriched,chunk200_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_bm25_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_dense_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk500_dense_enriched,chunk500_hybrid_enriched,B,answered_grounded_offtarget,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_dense_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_bm25_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_dense_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_dense_enriched,chunk200_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_bm25_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_dense_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_bm25_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_dense_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_dense_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk500_dense_enriched,chunk500_hybrid_enriched,B,answered_ungrounded,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_dense_enriched,C,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_bm25_enriched,C,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk200_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_bm25_enriched,C,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_bm25_enriched,C,abstained,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_dense_enriched,C,abstained,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk500_dense_enriched,chunk500_hybrid_enriched,C,abstained,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_dense_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk200_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_bm25_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_dense_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_bm25_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk200_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_bm25_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_dense_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_dense_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_bm25_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_dense_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk200_hybrid_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_dense_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk500_bm25_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
Family 3,factual,chunk500_dense_enriched,chunk500_hybrid_enriched,C,answered_grounded_correct,0,,,
